study_hours,attendance,sleep_hours,result
5.47,92.64,8.11,1
0.7,65.69,4.27,0
6.74,46.96,7.73,0
0.92,77.55,4.91,0
10.89,63.91,7.8,1
6.15,97.04,7.52,1
5.91,93.47,6.47,1
8.76,73.26,6.35,1
8.5,91.18,9.34,1
3.61,92.65,6.91,1
7.95,42.16,6.81,1
1.22,99.16,7.43,1
7.6,44.23,9.38,1
0.49,94.32,8.74,0
9.7,49.78,6.07,1
9.54,40.73,8.56,1
7.92,72.97,4.92,1
2.2,73.41,6.12,0
1.74,62.32,7.07,0
5.13,63.17,6.76,1
10.33,94.32,6.19,1
3.49,45.83,9.92,0
8.67,99.58,9.58,1
7.29,88.56,7.68,1
8.29,57.59,5.7,1
10.9,99.43,8.28,1
0.25,57.67,6.73,0
1.01,99.2,5.55,0
0.29,73.23,9.79,0
5.87,86.58,7.19,1
6.27,91.33,4.88,1
10.7,53.42,5.53,1
9.42,84.45,4.98,1
11.1,45.47,7.63,1
5.18,74.2,9.85,1
11.84,56.25,8.63,1
10.81,77.09,4.48,1
11.06,71.33,9.67,1
1.39,55.01,7.72,0
2.09,66.91,4.77,0
4.72,92.12,8.86,1
11.16,79.52,5.09,1
6.82,78.95,4.31,1
3.65,96.17,7.5,1
8.07,91.5,7.2,1
1.69,70.98,4.68,0
10.02,93.73,9.34,1
8.21,82.12,9.92,1
11.66,56.91,8.49,1
4.66,43.1,9.72,1
7.28,88.77,9.58,1
9.81,66.49,5.48,1
7.96,85.2,5.68,1
7.6,46.07,7.15,1
3.18,97.73,4.38,1
1.93,45.01,5.12,0
10.46,78.55,6.84,1
10.19,47.13,6.89,1
9.79,97.76,7.37,1
6.23,90.69,4.37,1
5.93,42.44,9.7,1
9.82,97.67,5.24,1
9.69,63.29,5.01,1
9.63,59.38,8.03,1
7.64,68.41,9.88,1
0.89,87.71,7.12,0
2.75,62.48,4.77,0
3.73,97.29,6.1,1
2.24,75.15,5.03,1
4.07,45.05,6.46,1
4.64,59.72,6.18,1
1.93,91.39,7.85,1
0.56,57.62,8.35,0
2.74,96.49,4.72,1
8.75,81.76,6.42,1
3.97,79.61,4.82,1
1.87,95.7,9.41,1
1.06,86.2,9.1,0
1.08,59.2,4.72,0
8.74,85.27,6.26,1
5.13,82.22,9.56,1
6.51,98.55,6.15,1
7.82,65.45,7.05,1
0.06,62.58,8.62,0
5.97,77.74,6.22,1
2.05,88.61,6.51,1
9.99,91.07,5.66,1
9.7,70.09,4.16,1
7.11,61.57,9.7,1
0.41,62.53,9.82,0
4.41,75.0,4.81,1
0.62,85.04,4.22,0
7.59,94.15,5.93,1
9.3,42.24,10.0,1
8.44,41.4,5.66,1
1.12,48.58,5.04,0
9.26,64.54,4.8,1
5.94,60.28,6.29,1
7.6,70.32,5.27,1
7.31,56.92,6.78,1
4.3,49.39,8.53,1
3.02,81.8,5.26,1
2.4,81.82,9.47,1
6.03,98.19,7.57,1
2.85,69.56,7.66,0
7.75,98.16,4.75,1
1.44,45.67,7.77,0
4.49,96.43,7.78,1
8.78,94.89,6.73,1
0.89,50.4,4.17,0
3.74,67.94,6.49,1
0.38,69.5,6.75,0
6.47,74.53,4.25,1
3.42,84.1,7.71,1
2.72,74.41,8.47,1
1.44,61.36,7.08,0
3.9,84.27,7.54,1
2.24,40.65,8.07,0
2.85,85.05,5.62,0
0.31,68.45,6.95,0
3.66,87.9,6.26,1
11.55,47.09,5.11,1
3.26,71.88,7.64,1
3.51,48.41,5.86,0
10.71,96.41,5.15,1
2.9,95.85,6.68,1
8.71,44.37,4.67,1
11.39,94.79,9.2,1
11.64,63.11,7.72,1
2.34,71.66,6.09,1
6.17,82.15,8.94,1
6.03,50.65,8.48,0
1.87,40.93,7.51,0
3.82,67.5,5.06,1
0.78,92.02,9.6,1
4.36,88.87,8.84,1
8.13,59.16,4.52,1
9.94,72.44,5.37,1
3.88,59.14,9.53,1
0.08,51.75,7.02,0
3.9,40.68,5.73,0
4.09,87.49,6.14,1
9.27,66.34,7.12,1
10.53,69.67,5.42,1
3.37,83.57,7.71,1
3.11,74.7,9.03,1
11.83,60.45,4.64,1
1.46,93.4,7.56,1
1.32,72.74,4.53,0
4.4,71.1,8.88,1
11.24,80.35,7.88,1
10.77,89.31,6.39,1
7.48,82.88,5.28,1
5.28,87.75,4.9,1
7.7,45.09,8.9,1
6.24,72.56,5.64,1
9.25,42.76,9.17,1
1.36,87.38,9.92,0
10.91,45.64,9.05,1
0.44,88.21,6.21,0
11.68,57.14,5.93,1
7.18,62.21,7.77,1
2.99,76.95,5.44,1
10.74,61.61,7.33,1
4.05,80.98,4.49,1
8.96,68.12,7.49,1
3.1,43.45,4.61,0
1.12,84.76,6.02,0
2.22,75.45,9.19,1
6.43,89.59,5.96,1
10.36,72.95,8.22,1
11.59,70.68,4.27,1
10.39,98.0,5.69,1
0.2,97.0,7.22,0
3.48,70.19,4.83,0
8.56,85.47,8.7,1
0.76,56.8,4.09,0
2.69,94.38,5.45,1
7.8,43.38,4.93,0
5.67,54.86,6.09,0
7.21,97.82,9.7,1
2.55,59.02,5.13,0
3.9,45.12,4.77,1
0.11,96.83,7.34,1
2.67,41.09,8.8,0
6.3,81.76,4.47,1
3.85,63.35,7.56,1
0.07,41.52,7.31,0
7.57,97.79,8.09,1
11.31,44.27,9.24,1
4.19,82.06,9.89,1
7.89,47.05,7.2,1
4.28,78.25,8.03,1
7.17,47.62,8.61,1
9.07,42.72,4.77,1
11.64,41.83,8.88,1
10.65,82.37,9.82,1
7.74,77.91,6.59,1
9.36,44.88,9.19,1
2.9,47.02,5.71,0
3.37,44.43,8.98,1
8.3,73.5,6.55,1
7.09,45.48,6.99,1
0.54,77.37,6.7,0
6.56,57.19,4.34,1
10.65,65.18,9.42,1
1.67,99.4,7.22,1
2.35,52.95,5.48,0
10.78,62.24,8.01,1
4.41,46.19,4.12,0
6.92,42.59,6.83,1
6.66,93.26,4.96,1
10.77,85.69,9.38,1
6.13,44.16,8.14,1
1.17,79.0,8.86,0
9.14,65.74,5.45,1
2.93,62.49,9.94,0
11.41,97.24,8.17,1
11.27,89.36,9.98,1
3.34,88.41,5.51,1
5.01,46.05,4.24,1
2.87,64.76,9.37,1
6.1,66.03,5.97,1
1.29,45.87,5.55,0
9.64,41.59,8.01,1
7.65,76.7,6.62,1
1.94,62.46,5.03,0
8.48,90.16,9.26,1
8.55,46.67,4.69,1
6.58,86.63,5.94,1
10.75,78.6,5.67,1
2.13,71.39,8.39,0
7.34,76.9,8.19,1
6.36,61.05,5.12,1
2.38,44.71,9.11,0
4.92,78.11,4.46,1
2.18,50.17,6.78,0
9.13,40.86,6.38,1
1.65,85.14,7.42,0
3.77,50.39,6.96,0
