area,bedrooms,age,price
1623.62,4,32,134561.52137845097
3352.14,3,39,205478.22489159618
2695.98,1,9,146503.3366922315
2295.98,4,42,174550.96893238105
968.06,4,43,108611.77987888579
967.98,3,28,103779.85419607942
674.25,1,12,52464.61919093025
3098.53,3,11,206541.98172168797
2303.35,1,30,115675.42664325821
2624.22,5,45,211170.59585753252
561.75,2,1,60986.33396489679
3409.73,2,49,195143.79382927177
2997.33,2,34,178763.70060360644
1137.02,3,22,103505.12173947648
1045.47,5,16,135707.82735454562
1050.21,1,25,66779.86187082707
1412.73,4,7,146563.8007737369
2074.27,1,28,115902.5815598673
1795.84,4,25,149319.86170602817
1373.69,1,9,81187.62488523114
2335.56,5,25,204304.21849859093
918.48,4,33,109658.9029688237
1376.43,3,40,106571.17264260378
1599.09,1,6,100068.7496617375
1868.21,1,3,106572.39785308702
2855.53,4,49,197564.60257489354
1099.02,3,44,93552.47815855949
2042.7,3,10,159707.19417029375
2277.24,5,28,203420.07439044444
639.35,3,35,68844.28954081066
2322.63,3,24,156460.9291463219
1011.57,3,20,106966.88410949254
695.15,2,35,58919.07005989796
3346.66,5,9,259090.56731721724
3396.9,1,36,179600.7598776126
2925.19,4,8,222837.8731714643
1413.84,1,23,85088.48592031913
793.02,5,34,122988.59240705054
2552.7,4,48,193938.73962440994
1820.46,5,34,182799.70421221602
866.11,3,47,78560.67925760463
1985.53,4,35,166634.35475477178
603.17,3,17,84885.37974792573
3227.96,1,48,164241.15778766174
1276.34,1,38,59992.38269709948
2487.57,4,31,192308.7572999922
1435.13,4,23,145548.62243424793
2060.2,5,22,183216.30256788444
2140.13,5,31,185590.20743667113
1054.56,3,36,84531.8391111995
3408.75,4,11,243590.46582777723
2825.4,1,48,140857.7112789798
3318.5,5,12,267436.78526048013
3184.48,5,22,248594.47390209886
2293.7,1,24,130828.07772785646
3265.62,5,34,239380.49270892554
765.48,3,40,69757.08780322423
1087.95,4,29,119619.7615055169
635.68,1,16,50000.0
1475.99,4,48,129636.02625952954
1666.03,5,19,163464.28949980062
1314.05,5,47,141756.89980243606
2986.21,1,24,150788.15249747573
1570.26,3,21,131361.3627441502
1342.8,2,12,102972.99123048424
2128.09,1,18,112705.10106836322
922.77,2,48,59569.165413316536
2906.59,2,35,162533.43239055524
723.65,3,11,90369.10451363414
3460.66,2,40,197808.7116025062
2816.73,2,18,166907.86976832227
