experience,salary
11.24,54183.73353831882
28.52,99689.69241897162
21.96,88967.58608684834
17.96,68745.67841783022
4.68,42837.29967302065
4.68,48235.71377141214
1.74,30000.0
25.99,95898.16929266152
18.03,76374.41397124212
21.24,87009.11435888655
0.62,30000.0
29.1,96147.71693457862
24.97,95034.70782808449
6.37,47409.92336616593
5.45,44877.46425172938
5.5,45482.24104748488
9.13,49424.876392107544
15.74,70511.26848580502
12.96,63865.362366493406
8.74,48278.24290986816
18.36,85228.87255572378
4.18,42819.16460455894
8.76,45943.48251398676
10.99,60757.76804316915
13.68,59326.591648863396
23.56,92835.42301871226
5.99,50767.977895037024
15.43,64471.58840824145
17.77,79241.8806462216
1.39,35538.90463468249
18.23,79685.30079997245
5.12,52283.96491326974
1.95,33648.05941998565
28.47,97406.31917821255
28.97,97977.42785187239
24.25,86545.9485751728
9.14,52464.49145292948
2.93,39030.75987408322
20.53,82708.45399665009
13.2,67135.91624518012
3.66,39215.009459389534
14.86,74417.67038578658
1.03,31251.71583381022
27.28,111800.84583294809
7.76,52528.33673882503
19.88,75414.21221791858
9.35,48020.53750969444
15.6,71412.36207621593
16.4,69882.68607337074
5.55,47445.00247046046
29.09,105091.18812286772
23.25,87760.85543671563
28.18,96216.03140965797
26.84,89525.76387657068
17.94,72617.4252396649
27.66,103431.99397161737
2.65,37695.46872065102
5.88,38471.30610644006
1.36,34265.90462925591
9.76,56326.586898644186
11.66,54730.71281899433
8.14,51118.62552972764
24.86,92441.04359223
10.7,51035.148510846884
8.43,52863.936801741416
16.28,73503.92263184117
4.23,45990.25621587638
24.07,95444.01026017452
2.24,30000.0
29.61,99335.87480042438
23.17,90500.1763360433
5.96,47468.929754561046
0.17,33000.23843153024
24.46,110413.6574532736
21.21,85879.45255346583
21.87,90352.828200903
23.14,92620.008817466
2.22,38806.95625652899
10.75,55298.65377679827
3.48,42494.846102466334
25.89,90860.87392731215
18.7,75565.90696629995
9.93,52398.18226085448
1.91,35184.37069693161
9.33,64898.292833367545
9.76,45063.67403704126
21.89,88156.30095187257
19.13,69761.42064405174
26.62,94190.34067105284
14.17,70869.75298483683
3.59,39296.400095477315
21.4,78111.27611035347
22.82,83473.48145370017
16.84,75497.98874467338
23.13,84173.16684141432
14.81,68107.29294790987
15.68,69427.85919951907
12.83,58816.99826197091
0.76,42619.72044662663
3.24,41269.59511159005
0.94,30000.0
19.09,78657.27157384715
9.43,50266.06767615806
15.26,72412.16667398112
27.23,94112.39630783649
7.48,48126.317792665504
12.31,63299.93639490229
22.67,91003.7759708506
6.86,41148.51796472112
2.31,34102.49382079526
8.69,49350.27344419522
4.84,38833.35383713144
27.89,108552.27120140549
24.24,92624.90855480477
19.0,71195.58022832478
26.14,99939.30973527388
24.11,100885.78098506316
5.6,49162.32630275573
26.78,89353.15017022993
16.18,68028.82963566875
24.22,96884.55574593312
26.88,93661.6526719061
9.54,56069.097140731144
3.3,42123.170267146685
6.84,42465.347642109584
12.81,61727.373219691
24.54,75143.66329965464
25.82,89428.06179332855
0.21,30000.0
15.32,62061.084090175755
12.52,69462.05651965817
6.66,39499.293110196835
3.6,36799.777566515084
10.13,55978.70288643046
28.29,107931.36644533058
9.7,47070.6892441028
15.56,74715.8187607748
21.09,82776.16530509794
10.91,52367.456744760246
29.15,105185.51737131635
28.87,103170.29847786736
7.55,45873.915614206024
14.92,67649.01042495009
9.03,50648.4320156912
8.55,51942.58672625624
1.11,36085.65337260524
18.29,83655.08408072677
15.08,61510.922505865754
1.54,44515.166873281334
8.36,41139.56100238749
27.25,97366.07452482208
7.19,50916.586032422885
4.35,42279.959338675166
14.68,63586.50240089703
29.57,102884.38874821362
7.26,45684.99532670584
20.16,77453.17621527895
22.85,91373.01048510513
7.13,49610.077429825236
21.85,81160.45202369674
11.03,62072.999377166256
18.97,78961.49760438304
19.01,81589.3105941948
16.07,73323.14420961805
2.71,32630.02494538964
25.06,89849.09479901515
9.62,57786.46802561631
5.6,47051.85132716732
1.22,32945.49203017926
17.73,74911.63691654391
20.33,87213.32447894213
0.5,30000.0
15.36,71135.4869058502
6.79,45964.03673783053
19.36,77311.5939838639
5.23,48568.88425993595
20.73,85952.08174494015
11.6,63067.54818000319
28.1,106777.39403577165
4.13,40430.019208163794
