study_hours,attendance,result
4.49,60.46,1
11.41,46.81,1
8.78,95.48,1
7.18,92.64,1
1.87,55.48,0
1.87,79.6,1
0.7,89.03,0
10.39,73.31,1
7.21,71.78,1
8.5,54.51,1
0.25,45.59,0
11.64,93.83,1
9.99,94.03,1
2.55,77.99,0
2.18,60.34,0
2.2,60.95,0
3.65,83.56,1
6.3,93.83,1
5.18,93.23,1
3.49,86.79,1
7.34,78.52,1
1.67,45.05,0
3.51,49.7,0
4.4,93.91,1
5.47,76.39,1
9.42,40.55,1
2.4,46.09,0
6.17,79.81,1
7.11,40.3,1
0.56,49.65,0
7.29,72.92,1
2.05,81.51,1
0.78,79.12,1
11.39,53.46,1
11.59,82.73,1
9.7,54.23,1
3.66,59.52,0
1.17,84.79,0
8.21,78.98,1
5.28,90.95,1
1.46,79.46,0
5.94,74.1,1
0.41,45.62,0
10.91,62.06,1
3.11,55.91,1
7.95,54.64,1
3.74,98.38,1
6.24,63.59,1
6.56,93.52,1
2.22,77.87,0
11.64,87.69,1
9.3,70.16,1
11.27,74.61,1
10.74,69.55,1
7.17,51.71,1
11.06,83.35,1
1.06,56.85,0
2.35,41.46,0
0.54,78.73,0
3.9,50.63,0
4.66,96.43,1
3.26,97.24,1
9.94,94.89,1
4.28,62.21,1
3.37,40.93,0
6.51,95.7,1
1.69,65.69,0
9.63,98.0,1
0.89,97.82,1
11.84,91.18,1
9.27,57.67,1
2.38,63.11,0
0.07,91.07,0
9.79,59.02,1
8.48,50.17,1
8.75,73.41,1
9.26,96.17,1
0.89,81.76,0
4.3,74.2,1
1.39,45.83,0
10.36,76.9,1
7.48,99.4,1
3.97,48.41,0
0.76,71.1,0
3.73,92.64,1
3.9,84.45,1
8.76,81.82,1
7.65,82.15,1
10.65,61.57,1
5.67,57.62,1
1.44,88.56,1
8.56,88.61,1
9.13,92.02,1
6.74,94.79,1
9.25,70.68,1
5.93,70.09,1
6.27,87.9,1
5.13,79.0,1
0.31,82.12,0
1.29,87.75,0
0.38,93.4,0
7.64,60.28,1
3.77,62.53,0
6.1,45.64,1
10.89,74.7,1
2.99,42.16,1
4.92,67.94,1
9.07,72.56,1
2.75,57.19,0
0.92,75.45,0
3.48,41.83,0
1.93,42.24,0
11.16,89.36,1
9.7,61.61,1
7.6,47.62,0
10.46,71.33,1
9.64,86.2,1
2.24,52.95,0
10.71,77.37,1
6.47,45.12,1
9.69,43.1,1
10.75,71.88,1
3.82,72.44,1
1.32,78.25,0
2.74,83.57,0
5.13,98.55,1
9.82,70.98,1
10.33,59.38,1
0.08,87.71,0
6.13,56.25,1
5.01,66.34,0
2.67,44.71,0
1.44,41.52,0
4.05,97.76,1
11.31,90.16,1
3.88,81.76,1
6.23,64.54,1
8.44,50.4,1
4.36,49.39,1
11.66,55.01,1
11.55,72.95,1
3.02,82.88,1
5.97,79.61,1
3.61,56.8,1
3.42,97.29,1
0.44,84.27,0
7.31,73.26,1
6.03,76.7,1
0.62,65.18,0
3.34,54.86,0
10.9,61.36,1
2.87,85.47,1
1.74,40.86,0
5.87,46.96,1
11.83,42.76,1
2.9,42.44,0
8.07,91.33,1
9.14,82.22,1
2.85,68.45,0
8.74,45.87,1
4.41,69.5,0
7.59,68.41,1
7.6,50.39,1
6.43,66.03,1
1.08,63.91,0
10.02,76.95,1
3.85,78.11,1
2.24,42.72,0
0.49,62.48,0
7.09,77.55,1
8.13,70.19,1
0.2,91.39,0
6.15,79.52,1
2.72,49.78,0
7.74,44.23,1
2.09,78.55,0
8.29,41.59,1
4.64,75.15,0
11.24,96.41,1
1.65,74.53,0
