study_hours,attendance,sleep_hours,result
4.49,79.46,4.51,0
11.41,74.1,9.92,1
8.78,45.62,6.25,1
7.18,62.06,6.22,1
1.87,55.91,8.88,0
1.87,54.64,9.68,0
0.7,98.38,9.92,1
10.39,63.59,8.52,1
7.21,93.52,6.26,1
8.5,77.87,4.5,1
0.25,87.69,8.66,0
11.64,70.16,7.35,1
9.99,74.61,6.55,1
2.55,69.55,9.44,1
2.18,51.71,4.67,0
2.2,83.35,6.96,0
3.65,56.85,4.07,0
6.3,41.46,6.81,1
5.18,78.73,4.34,0
3.49,50.63,4.71,0
7.34,96.43,4.71,1
1.67,97.24,7.9,1
3.51,94.89,8.48,1
4.4,62.21,7.5,0
5.47,40.93,9.77,0
9.42,95.7,6.25,1
2.4,65.69,5.71,0
6.17,98.0,9.21,1
7.11,97.82,5.34,1
0.56,91.18,9.78,0
7.29,57.67,4.07,1
2.05,63.11,9.82,0
0.78,91.07,4.26,0
11.39,59.02,9.35,1
11.59,50.17,7.17,1
9.7,73.41,9.96,1
3.66,96.17,4.44,1
1.17,81.76,7.32,0
8.21,74.2,9.82,1
5.28,45.83,7.14,0
1.46,76.9,7.78,0
5.94,99.4,8.17,1
0.41,48.41,6.73,0
10.91,71.1,7.77,1
3.11,92.64,7.51,1
7.95,84.45,9.41,1
3.74,81.82,4.27,1
6.24,82.15,5.69,1
6.56,61.57,9.7,1
2.22,57.62,9.34,0
11.64,88.56,6.73,1
9.3,88.61,7.72,1
11.27,92.02,5.66,1
10.74,94.79,5.13,1
7.17,70.68,6.78,1
11.06,70.09,6.12,1
1.06,87.9,7.5,0
2.35,79.0,4.47,0
0.54,82.12,9.85,0
3.9,87.75,9.92,1
4.66,93.4,8.19,1
3.26,60.28,7.22,0
9.94,62.53,5.86,1
4.28,45.64,8.88,0
3.37,74.7,8.11,0
6.51,42.16,4.98,0
1.69,67.94,9.47,0
9.63,72.56,8.94,1
0.89,57.19,9.7,0
11.84,75.45,8.35,1
9.27,41.83,7.68,1
2.38,42.24,6.51,0
0.07,89.36,9.6,1
9.79,61.61,9.2,1
8.48,47.62,4.27,1
8.75,71.33,4.16,1
9.26,86.2,6.26,1
0.89,52.95,8.86,0
4.3,77.37,9.92,1
1.39,45.12,4.9,0
10.36,43.1,7.56,1
7.48,71.88,6.29,1
3.97,72.44,9.82,1
0.76,78.25,9.05,0
3.73,83.57,9.03,1
3.9,98.55,6.81,1
8.76,70.98,6.49,1
7.65,59.38,5.64,1
10.65,87.71,4.34,1
5.67,56.25,9.19,1
1.44,66.34,8.88,0
8.56,44.71,10.0,1
9.13,41.52,9.98,1
6.74,97.76,7.33,1
9.25,90.16,8.61,1
5.93,81.76,9.67,1
6.27,64.54,9.1,1
5.13,50.4,5.48,1
0.31,49.39,6.7,0
1.29,55.01,4.77,0
0.38,72.95,9.72,0
7.64,82.88,7.64,1
3.77,79.61,5.37,1
6.1,56.8,8.03,1
10.89,97.29,7.71,1
2.99,84.27,6.15,0
4.92,73.26,4.68,0
9.07,76.7,8.03,1
2.75,65.18,7.12,1
0.92,54.86,8.63,0
3.48,61.36,7.12,1
1.93,85.47,9.11,0
11.16,40.86,7.31,1
9.7,46.96,7.37,1
7.6,42.76,9.26,1
10.46,42.44,6.42,1
9.64,91.33,4.8,1
2.24,82.22,4.17,0
10.71,68.45,8.53,1
6.47,45.87,7.72,1
9.69,69.5,8.22,1
10.75,68.41,5.28,1
3.82,50.39,4.82,1
1.32,66.03,4.09,0
2.74,63.91,6.1,0
5.13,76.95,7.54,1
9.82,78.11,6.35,1
10.33,42.72,6.62,1
0.08,62.48,9.42,0
6.13,77.55,6.09,1
5.01,70.19,7.08,1
2.67,91.39,8.7,1
1.44,79.52,6.38,0
4.05,49.78,7.73,0
11.31,44.23,9.17,1
3.88,78.55,9.7,1
6.23,41.59,4.88,0
8.44,75.15,9.56,1
4.36,96.41,6.95,1
11.66,74.53,5.55,1
11.55,63.29,6.75,1
3.02,78.6,9.88,0
5.97,67.5,6.96,1
3.61,72.74,5.97,0
3.42,96.49,7.8,0
0.44,63.17,5.44,0
7.31,97.67,4.46,1
6.03,94.32,4.77,1
0.62,51.75,4.77,0
3.34,44.16,4.91,0
10.9,46.05,4.83,1
2.87,41.09,7.85,0
1.74,45.67,5.09,0
5.87,80.98,6.07,1
11.83,44.27,9.38,1
